Optimizer,Dataset,objfname,Experiment,startTime,EndTime,ExecutionTime,trainAcc,trainTP,trainFN,trainFP,trainTN,testAcc,testTP,testFN,testFP,testTN,Iter1,Iter2,Iter3,Iter4,Iter5
PSO,BreastCancer,costNN,1,2022-03-25-11-26-22,2022-03-25-11-26-24,1.9911000728607178,0.7809110629067245,296.0,5.0,96.0,64.0,0.7773109243697479,156.0,1.0,52.0,29.0,0.10860582981557108,0.08713999477708846,0.08713999477708846,0.08713999477708846,0.08713999477708846
PSO,BreastCancer,costNN,2,2022-03-25-11-26-24,2022-03-25-11-26-26,1.9195547103881836,0.8394793926247288,227.0,74.0,0.0,160.0,0.8403361344537815,121.0,36.0,2.0,79.0,0.10700325097931909,0.06909512725527271,0.06909512725527271,0.06909512725527271,0.06909512725527271
MVO,BreastCancer,costNN,1,2022-03-25-11-26-26,2022-03-25-11-26-28,1.9140346050262451,0.9436008676789588,278.0,23.0,3.0,157.0,0.9621848739495799,148.0,9.0,0.0,81.0,0.14446779281222447,0.09368005915935541,0.06173587109761833,0.05934055848255123,0.0577247967054929
MVO,BreastCancer,costNN,2,2022-03-25-11-26-28,2022-03-25-11-26-30,2.0818910598754883,0.9327548806941431,281.0,20.0,11.0,149.0,0.9453781512605042,148.0,9.0,4.0,77.0,0.12963864888823784,0.12942815844800729,0.08123710726485019,0.06398878279326087,0.05519055645770084
GWO,BreastCancer,costNN,1,2022-03-25-11-26-30,2022-03-25-11-26-33,2.2926228046417236,0.9587852494577006,286.0,15.0,4.0,156.0,0.9663865546218487,150.0,7.0,1.0,80.0,0.12417508823791497,0.057304533669671115,0.057304533669671115,0.052186739824453474,0.043220620959325017
GWO,BreastCancer,costNN,2,2022-03-25-11-26-33,2022-03-25-11-26-35,2.3957149982452393,0.9414316702819957,284.0,17.0,10.0,150.0,0.9663865546218487,151.0,6.0,2.0,79.0,0.07604329239370072,0.07604329239370072,0.06994240864366752,0.062356697760717165,0.05644171428966364
MFO,BreastCancer,costNN,1,2022-03-25-11-26-35,2022-03-25-11-26-39,3.361231565475464,0.9154013015184381,268.0,33.0,6.0,154.0,0.9537815126050421,148.0,9.0,2.0,79.0,0.0,0.0,0.0,0.0,0.0
MFO,BreastCancer,costNN,2,2022-03-25-11-26-39,2022-03-25-11-26-41,2.7379140853881836,0.928416485900217,270.0,31.0,2.0,158.0,0.9369747899159664,142.0,15.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0
CS,BreastCancer,costNN,1,2022-03-25-11-26-41,2022-03-25-11-26-46,4.628204822540283,0.8828633405639913,264.0,37.0,17.0,143.0,0.9117647058823529,141.0,16.0,5.0,76.0,0.1358704014456227,0.1018903863370589,0.1018903863370589,0.1018903863370589,0.1018903863370589
CS,BreastCancer,costNN,2,2022-03-25-11-26-46,2022-03-25-11-26-50,3.924571990966797,0.89587852494577,259.0,42.0,6.0,154.0,0.8949579831932774,133.0,24.0,1.0,80.0,0.08694218542769494,0.08694218542769494,0.08694218542769494,0.08694218542769494,0.08694218542769494
BAT,BreastCancer,costNN,1,2022-03-25-11-26-50,2022-03-25-11-26-52,2.152313709259033,0.6529284164859002,301.0,0.0,160.0,0.0,0.6596638655462185,157.0,0.0,81.0,0.0,0.15320824950759254,0.15320824950759254,0.15320824950759254,0.15320824950759254,0.15320824950759254
BAT,BreastCancer,costNN,2,2022-03-25-11-26-52,2022-03-25-11-26-54,2.1340150833129883,0.6898047722342733,282.0,19.0,124.0,36.0,0.6848739495798319,145.0,12.0,63.0,18.0,0.06583300002002214,0.06583300002002214,0.06583300002002214,0.06583300002002214,0.06583300002002214
PSO,Diabetes,costNN,1,2022-03-25-11-26-54,2022-03-25-11-26-56,2.0657958984375,0.6837944664031621,26.0,146.0,14.0,320.0,0.6717557251908397,16.0,80.0,6.0,160.0,0.22178332534631612,0.1944606417119146,0.1944606417119146,0.1944606417119146,0.1944606417119146
PSO,Diabetes,costNN,2,2022-03-25-11-26-56,2022-03-25-11-26-58,2.0592169761657715,0.48023715415019763,157.0,15.0,248.0,86.0,0.5114503816793893,93.0,3.0,125.0,41.0,0.21060533412379592,0.20434061857877842,0.20384975388229495,0.1919415227883913,0.18468463380119934
MVO,Diabetes,costNN,1,2022-03-25-11-26-58,2022-03-25-11-27-00,2.0078320503234863,0.7252964426877471,64.0,108.0,31.0,303.0,0.6793893129770993,30.0,66.0,18.0,148.0,0.22322033700099217,0.22322033700099217,0.2179920928025165,0.1975571814931124,0.19495595344393163
MVO,Diabetes,costNN,2,2022-03-25-11-27-01,2022-03-25-11-27-03,2.0452115535736084,0.7154150197628458,70.0,102.0,42.0,292.0,0.6603053435114504,38.0,58.0,31.0,135.0,0.23330517092379746,0.2027633387786512,0.2027633387786512,0.19749252980388507,0.18532443866820275
GWO,Diabetes,costNN,1,2022-03-25-11-27-03,2022-03-25-11-27-05,2.0714614391326904,0.733201581027668,81.0,91.0,44.0,290.0,0.683206106870229,40.0,56.0,27.0,139.0,0.2147962522735722,0.2147962522735722,0.18856418038757564,0.18856418038757564,0.18662955146739788
GWO,Diabetes,costNN,2,2022-03-25-11-27-05,2022-03-25-11-27-07,2.0932626724243164,0.7114624505928854,56.0,116.0,30.0,304.0,0.7099236641221374,34.0,62.0,14.0,152.0,0.23328646466869513,0.23328646466869513,0.21494012509114804,0.20486811759638762,0.19270224678772185
MFO,Diabetes,costNN,1,2022-03-25-11-27-07,2022-03-25-11-27-09,2.0035696029663086,0.6719367588932806,42.0,130.0,36.0,298.0,0.6297709923664122,25.0,71.0,26.0,140.0,0.0,0.0,0.0,0.0,0.0
